"tanggal","nama_kab_kota","kode_kab_kota","konfirmasi_total","konfirmasi_sembuh","konfirmasi_meninggal","konfirmasi_aktif","med_level","avg_delay","avg_speed_kmh","med_total_records"
2020-07-07,Kota Banjar,"3279",9,5,1,3,1.0,98.80181856508608,27.95116795433892,9.0
2020-07-07,Kota Bekasi,"3275",531,321,30,180,2.0,123.09476026866871,14.278737517016499,10.0
2020-07-07,Kota Bogor,"3271",185,102,16,67,2.0,115.87347176684203,16.57643071325557,9.0
2020-07-07,Kota Cimahi,"3277",135,64,1,70,3.0,75.33826711722888,10.060143085512365,21.0
2020-07-07,Kota Cirebon,"3274",29,7,1,21,3.0,104.19263960439947,15.76249146159691,7.0
2020-07-07,Kota Depok,"3276",824,446,38,340,2.0,129.69977135546375,15.082504878029845,10.0
2020-07-07,Kota Sukabumi,"3272",45,37,0,8,2.0,111.08449551950093,18.23020568392635,8.0
2020-07-07,Kota Tasikmalaya,"3278",24,19,2,3,2.0,89.40551788742478,18.165473815557117,9.0
2020-07-08,Kabupaten Bandung,"3204",123,56,6,61,2.0,108.22513363789561,15.584396052519129,11.0
2020-07-08,Kabupaten Bandung Barat,"3217",79,45,1,33,2.0,131.0335123822733,18.133565321729225,10.0
2020-07-08,Kabupaten Bekasi,"3216",254,117,18,119,2.0,119.01989122442029,15.480999191843315,10.0
2020-07-08,Kabupaten Bogor,"3201",252,139,9,104,2.0,134.6717915959853,16.58934539128197,11.0
2020-07-08,Kabupaten Ciamis,"3207",11,5,0,6,2.0,101.77464252048068,30.170665502548218,9.0
2020-07-08,Kabupaten Cianjur,"3203",21,10,1,10,2.0,151.01626043183185,21.34435318876629,10.0
2020-07-08,Kabupaten Cirebon,"3209",18,4,2,12,2.0,113.57156487431287,21.389171438889512,9.0
2020-07-08,Kabupaten Garut,"3205",23,8,3,12,2.0,128.1301215572856,21.187240283254166,9.0
2020-07-08,Kabupaten Indramayu,"3212",36,10,3,23,2.0,132.12568687287387,25.14558704325695,9.0
2020-07-08,Kabupaten Karawang,"3215",43,12,1,30,2.0,121.58369603581454,20.867341970273962,8.0
2020-07-08,Kabupaten Kuningan,"3208",27,5,2,20,2.0,112.57797701605435,26.468744172251284,9.0
2020-07-08,Kabupaten Majalengka,"3210",7,2,1,4,2.0,153.31516708930334,24.043193858116865,9.0
2020-07-08,Kabupaten Pangandaran,"3218",17,2,0,15,2.0,149.98206869761148,25.3722726504008,7.5
2020-07-08,Kabupaten Purwakarta,"3214",34,22,1,11,2.0,124.9380783884891,21.784974377609224,9.0
2020-07-08,Kabupaten Subang,"3213",53,28,2,23,2.0,132.97051529711987,25.12389856792358,8.0
2020-07-08,Kabupaten Sukabumi,"3202",61,25,0,36,2.0,177.37308787054556,17.94914817685558,11.0
2020-07-08,Kabupaten Sumedang,"3211",17,11,0,6,2.0,121.62865752465764,18.89302621252852,11.0
2020-07-08,Kabupaten Tasikmalaya,"3206",8,1,1,6,2.0,132.94219593601372,21.956574950964395,10.0
2020-07-08,Kota Bandung,"3273",428,235,42,151,3.0,111.33892725762567,13.612876468800653,12.0
2020-07-08,Kota Banjar,"3279",9,5,1,3,2.0,89.32577985875747,25.225582375245935,4.5
2020-07-08,Kota Bekasi,"3275",547,335,30,182,2.0,117.90606032477484,14.826186854629482,10.0
2020-07-08,Kota Bogor,"3271",204,102,16,86,2.0,113.03256230217833,16.660342955423868,10.0
2020-07-08,Kota Cimahi,"3277",136,64,1,71,3.0,78.39049562048463,10.149266047174093,17.0
2020-07-08,Kota Cirebon,"3274",29,7,1,21,3.0,106.19474803811252,16.783604077773518,8.0
2020-07-08,Kota Depok,"3276",829,447,38,344,2.0,123.11751515603478,15.703281257940395,10.0
2020-07-08,Kota Sukabumi,"3272",46,37,0,9,2.0,116.69353477627624,17.620042889725926,9.0
2020-07-08,Kota Tasikmalaya,"3278",24,19,2,3,2.0,94.28178882598877,18.751764728472782,9.0
2020-07-09,Kabupaten Bandung,"3204",123,56,6,61,2.0,115.09773167444786,15.064725154780648,11.0
2020-07-09,Kabupaten Bandung Barat,"3217",79,45,1,33,2.0,137.10904406864023,18.445011958645818,10.0
2020-07-09,Kabupaten Bekasi,"3216",254,117,22,115,2.0,123.23188802375974,15.179494069133414,10.0
2020-07-09,Kabupaten Bogor,"3201",254,142,9,103,2.0,139.88984530230601,15.952768065214876,10.0
2020-07-09,Kabupaten Ciamis,"3207",13,5,0,8,2.0,119.36464899473224,27.461219763186197,9.0
2020-07-09,Kabupaten Cianjur,"3203",23,10,1,12,2.0,170.23550901794434,20.938821625232695,11.0
2020-07-09,Kabupaten Cirebon,"3209",18,4,2,12,2.0,110.31043255433518,19.790745682140155,9.0
2020-07-09,Kabupaten Garut,"3205",23,8,3,12,2.0,127.56407763163249,20.898940303451138,9.0
2020-07-09,Kabupaten Indramayu,"3212",36,10,3,23,2.0,128.69521011131397,25.36602404843206,8.0
2020-07-09,Kabupaten Karawang,"3215",43,12,1,30,2.0,121.65964388468909,19.715399793531528,8.0
2020-07-09,Kabupaten Kuningan,"3208",27,5,2,20,2.0,109.84598588135283,25.635105555340395,9.0
2020-07-09,Kabupaten Majalengka,"3210",7,2,1,4,2.0,124.11252164840698,23.338644021749495,8.0
2020-07-09,Kabupaten Pangandaran,"3218",17,2,0,15,1.0,126.42130997601677,26.252541149363797,11.0
2020-07-09,Kabupaten Purwakarta,"3214",34,22,1,11,2.0,127.41934665141662,20.38642066631824,9.0
2020-07-09,Kabupaten Subang,"3213",53,28,2,23,2.0,128.31083061367858,24.543885025323608,9.0
2020-07-09,Kabupaten Sukabumi,"3202",62,25,0,37,2.0,176.11754294273837,18.576573353485774,10.0
2020-07-09,Kabupaten Sumedang,"3211",18,11,0,7,2.0,132.78541855830483,17.850458209348922,10.0
2020-07-09,Kabupaten Tasikmalaya,"3206",8,1,1,6,2.0,132.67565915132545,23.218239899461597,9.0
2020-07-09,Kota Bandung,"3273",431,236,42,153,3.0,118.46482486042032,13.084261048537165,11.0
2020-07-09,Kota Banjar,"3279",10,5,1,4,2.0,131.21169951467803,24.05260401061087,6.0
2020-07-09,Kota Bekasi,"3275",550,342,30,178,2.0,126.40948448752478,14.05967589007682,10.0
2020-07-09,Kota Bogor,"3271",204,102,16,86,2.0,130.92539257183103,15.472568414164098,10.0
2020-07-09,Kota Cimahi,"3277",137,64,1,72,3.0,91.97600090640715,9.677854603125523,18.0
2020-07-09,Kota Cirebon,"3274",30,7,1,22,3.0,105.1660237597604,15.594865469851046,8.0
2020-07-09,Kota Depok,"3276",834,462,38,334,2.0,136.71254003348838,14.762832108633734,10.0
2020-07-09,Kota Sukabumi,"3272",46,38,0,8,2.0,108.77033491779987,18.321933075897675,9.0
2020-07-09,Kota Tasikmalaya,"3278",24,19,2,3,2.0,100.23128823935986,18.065590942278504,9.0
2020-07-10,Kabupaten Bandung,"3204",124,56,6,62,2.0,145.9115389805773,14.428297235711437,12.0
2020-07-10,Kabupaten Bandung Barat,"3217",79,46,1,32,2.0,167.02748065372165,15.692708021959813,11.0
2020-07-10,Kabupaten Bekasi,"3216",254,118,22,114,2.0,135.83996797530378,13.832025423655745,10.0
2020-07-10,Kabupaten Bogor,"3201",256,146,9,101,2.0,175.95092088988278,14.247824701054096,11.0
2020-07-10,Kabupaten Ciamis,"3207",13,5,0,8,2.0,111.23341273477632,27.816992815879928,10.0
2020-07-10,Kabupaten Cianjur,"3203",23,10,1,12,2.0,188.94325840818928,19.74665506565556,11.0
2020-07-10,Kabupaten Cirebon,"3209",18,4,2,12,2.0,120.40525742475899,18.494386278053852,9.0
2020-07-10,Kabupaten Garut,"3205",23,8,3,12,2.0,152.25629907865454,19.90626561850721,11.0
2020-07-10,Kabupaten Indramayu,"3212",36,11,3,22,2.0,168.3587905883789,25.2167077411776,8.0
2020-07-10,Kabupaten Karawang,"3215",50,12,1,37,2.0,122.5128941501144,19.30056946295021,9.0
2020-07-10,Kabupaten Kuningan,"3208",27,6,2,19,2.0,117.21987529889563,25.254488564764188,9.0
2020-07-10,Kabupaten Majalengka,"3210",7,2,1,4,2.0,119.99345711299351,22.98204057651853,8.0
2020-07-10,Kabupaten Pangandaran,"3218",17,2,0,15,1.0,125.09355921972366,26.261806419917516,10.0
2020-07-10,Kabupaten Purwakarta,"3214",34,22,1,11,2.0,135.61135934567918,19.044752839344,10.0
2020-07-10,Kabupaten Subang,"3213",54,28,2,24,2.0,141.3718262258884,22.224873980800663,9.0
2020-07-10,Kabupaten Sukabumi,"3202",63,26,0,37,2.0,206.67169538275866,18.30162406059624,11.0
2020-07-10,Kabupaten Sumedang,"3211",18,11,0,7,2.0,134.67376412707745,17.366022043852176,11.0
2020-07-10,Kabupaten Tasikmalaya,"3206",8,1,1,6,2.0,122.05674073113336,21.94412623299493,10.0
2020-07-10,Kota Bandung,"3273",434,237,42,155,3.0,123.90199273125312,12.589982137211058,12.0
2020-07-10,Kota Banjar,"3279",11,5,1,5,2.0,107.36667891911098,23.1966193318367,9.0
2020-07-10,Kota Bekasi,"3275",551,343,30,178,2.0,133.6842649082146,13.261605834724879,11.0
2020-07-10,Kota Bogor,"3271",206,103,16,87,2.0,150.32060082361463,14.16491301286636,12.0
2020-07-10,Kota Cimahi,"3277",137,64,1,72,3.0,99.27371943347183,9.359349030025138,17.0
2020-07-10,Kota Cirebon,"3274",30,7,1,22,3.0,117.35090952170522,14.223585277795792,8.0
2020-07-10,Kota Depok,"3276",840,478,38,324,2.0,150.97981395581533,13.721466046798659,11.0
2020-07-10,Kota Sukabumi,"3272",46,38,0,8,2.0,120.60657879108554,18.088611203180232,9.0
2020-07-10,Kota Tasikmalaya,"3278",24,19,2,3,2.0,105.47350436694002,17.6341486872059,9.0
2020-07-11,Kabupaten Bandung,"3204",128,56,6,66,2.0,159.18145679190744,14.88789869016014,11.0
2020-07-11,Kabupaten Bandung Barat,"3217",79,46,1,32,2.0,178.89183011419124,15.601267689964988,10.0
2020-07-11,Kabupaten Bekasi,"3216",254,118,22,114,2.0,121.89893412278775,14.399024135605785,9.5
2020-07-11,Kabupaten Bogor,"3201",257,146,9,102,2.0,177.3802313794769,14.91748907581305,10.0
2020-07-11,Kabupaten Ciamis,"3207",13,5,0,8,2.0,135.7790862259112,26.730200394203788,10.0
2020-07-11,Kabupaten Cianjur,"3203",25,13,1,11,2.0,223.68783643473162,19.104868206315103,11.0
2020-07-11,Kabupaten Cirebon,"3209",18,4,2,12,2.0,112.71419672190108,19.05761342459192,8.0
